                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.95279,                 1.0286,                 1.0299,                0.79422,                0.77315,                0.83179,                0.61612,                 1.1086,                 1.2578,                 1.0903,             0.00087726,             0.00087726,             0.00087726
                    120,                0.94234,                 1.1814,                 1.0941,                0.84618,                0.79285,                0.85171,                0.60162,                 1.1257,                 1.2114,                 1.0953,             0.00087255,             0.00087255,             0.00087255
                    121,                 0.9539,                 1.2033,                 1.0589,                0.84618,                0.79285,                0.85171,                0.60162,                 1.1257,                 1.2114,                 1.0953,             0.00086783,             0.00086783,             0.00086783
                    122,                 1.0349,                  1.215,                 1.1212,                0.89838,                0.76723,                0.84971,                0.60928,                 1.0982,                 1.1621,                 1.0732,             0.00086312,             0.00086312,             0.00086312
                    123,                0.97619,                 1.3987,                 1.1125,                0.89838,                0.76723,                0.84971,                0.60928,                 1.0982,                 1.1621,                 1.0732,              0.0008584,              0.0008584,              0.0008584
                    124,                0.92242,                 1.1642,                 1.0321,                0.89838,                0.76723,                0.84971,                0.60928,                 1.0982,                 1.1621,                 1.0732,             0.00085368,             0.00085368,             0.00085368
                    125,                0.99581,                 1.1011,                 1.0446,                0.81285,                0.81019,                0.86142,                0.62631,                 1.0618,                 1.1673,                 1.0542,             0.00084897,             0.00084897,             0.00084897
                    126,                0.98941,                 1.2154,                 1.0629,                0.81285,                0.81019,                0.86142,                0.62631,                 1.0618,                 1.1673,                 1.0542,             0.00084425,             0.00084425,             0.00084425
                    127,                0.96284,                 1.2133,                 1.1525,                 0.7622,                0.76195,                0.83886,                0.61378,                 1.0508,                 1.1905,                 1.0384,             0.00083954,             0.00083954,             0.00083954
                    128,                0.98385,                 1.1692,                 1.0714,                 0.7622,                0.76195,                0.83886,                0.61378,                 1.0508,                 1.1905,                 1.0384,             0.00083482,             0.00083482,             0.00083482
                    129,                0.90984,                 1.0617,                 1.0697,                0.88347,                0.71579,                0.81392,                0.61203,                 1.0376,                 1.2038,                 1.0287,             0.00083011,             0.00083011,             0.00083011
                    130,                0.91148,                 1.1483,                 1.1176,                0.88347,                0.71579,                0.81392,                0.61203,                 1.0376,                 1.2038,                 1.0287,             0.00082539,             0.00082539,             0.00082539
                    131,                0.98494,                 1.1063,                   1.06,                0.88347,                0.71579,                0.81392,                0.61203,                 1.0376,                 1.2038,                 1.0287,             0.00082067,             0.00082067,             0.00082067
                    132,                0.91034,                 1.0162,                0.99506,                0.79378,                0.69444,                0.75973,                0.56894,                 1.0596,                 1.2724,                  1.054,             0.00081596,             0.00081596,             0.00081596
                    133,                0.88824,                 1.1094,                 1.0194,                0.79378,                0.69444,                0.75973,                0.56894,                 1.0596,                 1.2724,                  1.054,             0.00081124,             0.00081124,             0.00081124
                    134,                0.88854,                 1.1605,                 1.0446,                0.72805,                0.69444,                0.72352,                  0.524,                  1.089,                 1.3487,                 1.0809,             0.00080653,             0.00080653,             0.00080653
                    135,                0.88312,                 1.0294,                0.98035,                0.72805,                0.69444,                0.72352,                  0.524,                  1.089,                 1.3487,                 1.0809,             0.00080181,             0.00080181,             0.00080181
                    136,                 1.0111,                 1.1481,                 1.0587,                0.78144,                0.69444,                0.72016,                0.51919,                 1.0975,                 1.3759,                 1.0959,              0.0007971,              0.0007971,              0.0007971
                    137,                0.90684,                 1.1718,                 1.0626,                0.78144,                0.69444,                0.72016,                0.51919,                 1.0975,                 1.3759,                 1.0959,             0.00079238,             0.00079238,             0.00079238
                    138,                0.99974,                 1.1558,                 1.1239,                0.74313,                0.73148,                0.74674,                 0.5268,                 1.1041,                 1.3165,                 1.1108,             0.00078766,             0.00078766,             0.00078766
                    139,                0.94111,                 1.1208,                 1.1121,                0.74313,                0.73148,                0.74674,                 0.5268,                 1.1041,                 1.3165,                 1.1108,             0.00078295,             0.00078295,             0.00078295
                    140,                0.94529,                 1.0252,                 1.0766,                0.74313,                0.73148,                0.74674,                 0.5268,                 1.1041,                 1.3165,                 1.1108,             0.00077823,             0.00077823,             0.00077823
